sepal_length,sepal_width,petal_length,petal_width,species,sepal_length_capped,petal_area,sepal_ratio,is_large_petal
5.1,3.5,1.4,0.2,setosa,5.1,0.27999999999999997,1.457142857142857,0
4.9,3.0,1.4,0.2,setosa,4.9,0.27999999999999997,1.6333333333333335,0
4.7,3.2,1.3,0.2,setosa,4.7,0.26,1.46875,0
4.6,3.1,1.5,0.2,setosa,4.6,0.30000000000000004,1.4838709677419353,0
5.0,3.6,1.4,0.2,setosa,5.0,0.27999999999999997,1.3888888888888888,0
5.4,3.9,1.7,0.4,setosa,5.4,0.68,1.3846153846153848,0
4.6,3.4,1.4,0.3,setosa,4.6,0.42,1.352941176470588,0
5.0,3.4,1.5,0.2,setosa,5.0,0.30000000000000004,1.4705882352941178,0
4.4,2.9,1.4,0.2,setosa,4.4,0.27999999999999997,1.517241379310345,0
4.9,3.1,1.5,0.1,setosa,4.9,0.15000000000000002,1.5806451612903227,0
5.4,3.7,1.5,0.2,setosa,5.4,0.30000000000000004,1.4594594594594594,0
4.8,3.4,1.6,0.2,setosa,4.8,0.32000000000000006,1.411764705882353,0
4.8,3.0,1.4,0.1,setosa,4.8,0.13999999999999999,1.5999999999999999,0
4.3,3.0,1.1,0.1,setosa,4.3,0.11000000000000001,1.4333333333333333,0
5.8,4.0,1.2,0.2,setosa,5.8,0.24,1.45,0
5.7,4.4,1.5,0.4,setosa,5.7,0.6000000000000001,1.2954545454545454,0
5.4,3.9,1.3,0.4,setosa,5.4,0.52,1.3846153846153848,0
5.1,3.5,1.4,0.3,setosa,5.1,0.42,1.457142857142857,0
5.7,3.8,1.7,0.3,setosa,5.7,0.51,1.5000000000000002,0
5.1,3.8,1.5,0.3,setosa,5.1,0.44999999999999996,1.3421052631578947,0
5.4,3.4,1.7,0.2,setosa,5.4,0.34,1.5882352941176472,0
5.1,3.7,1.5,0.4,setosa,5.1,0.6000000000000001,1.3783783783783783,0
4.6,3.6,1.0,0.2,setosa,4.6,0.2,1.2777777777777777,0
5.1,3.3,1.7,0.5,setosa,5.1,0.85,1.5454545454545454,0
4.8,3.4,1.9,0.2,setosa,4.8,0.38,1.411764705882353,0
5.0,3.0,1.6,0.2,setosa,5.0,0.32000000000000006,1.6666666666666667,0
5.0,3.4,1.6,0.4,setosa,5.0,0.6400000000000001,1.4705882352941178,0
5.2,3.5,1.5,0.2,setosa,5.2,0.30000000000000004,1.4857142857142858,0
5.2,3.4,1.4,0.2,setosa,5.2,0.27999999999999997,1.5294117647058825,0
4.7,3.2,1.6,0.2,setosa,4.7,0.32000000000000006,1.46875,0
4.8,3.1,1.6,0.2,setosa,4.8,0.32000000000000006,1.5483870967741935,0
5.4,3.4,1.5,0.4,setosa,5.4,0.6000000000000001,1.5882352941176472,0
5.2,4.1,1.5,0.1,setosa,5.2,0.15000000000000002,1.2682926829268295,0
